mtAddress, lat, lng, group, wheelchair, mtDay, start, end, type, spinterest, zone, mtlocation
"224 WAVERLY PL New York NY ", 40.7360657, -74.0019452 , "RED DOOR", false,"Sunday", "7:00 PM", "8:00 PM" ,"S", "Gay Lesbian and Bisexual",2, "St. John''s Episcopal Church"
"224 WAVERLY PL New York NY ", 40.7360657, -74.0019452 , "RED DOOR", false,"Thursday", "7:00 PM", "8:00 PM" ,"B", "Gay Lesbian and Bisexual",2, "St. John''s Episcopal Church"
"224 WAVERLY PL New York NY ", 40.7360657, -74.0019452 , "RED DOOR", false,"Friday", "7:00 PM", "8:00 PM" ,"OD", "Promises",2, "St. John''s Episcopal Church"
"224 WAVERLY PL New York NY ", 40.7360657, -74.0019452 , "RED DOOR", false,"Sunday", "8:30 PM", "9:30 PM" ,"OD", "Gay Lesbian and Bisexual",2, "St. John''s Episcopal Church"
"224 WAVERLY PL New York NY ", 40.7360657, -74.0019452 , "RED DOOR", false,"Friday", "8:30 PM", "9:30 PM" ,"OD", "Gay Lesbian and Bisexual",2, "St. John''s Episcopal Church"
"154 SULLIVAN ST New York NY ", 40.7273786, -74.0017414 , "ROOM FOR IMPROVEMENT (:I)", false,"Monday", "7:30 AM", "8:30 AM" ,"BB", "null",2, "St. Anthony''s of Padua"
"154 SULLIVAN ST New York NY ", 40.7273786, -74.0017414 , "ROOM FOR IMPROVEMENT (:I)", false,"Tuesday", "7:30 AM", "8:30 AM" ,"B", "null",2, "St. Anthony''s of Padua"
"154 SULLIVAN ST New York NY ", 40.7273786, -74.0017414 , "ROOM FOR IMPROVEMENT (:I)", false,"Wednesday", "7:30 AM", "8:30 AM" ,"C", "null",2, "St. Anthony''s of Padua"
"154 SULLIVAN ST New York NY ", 40.7273786, -74.0017414 , "ROOM FOR IMPROVEMENT (:I)", false,"Thursday", "7:30 AM", "8:30 AM" ,"C", "Promises",2, "St. Anthony''s of Padua"
"154 SULLIVAN ST New York NY ", 40.7273786, -74.0017414 , "ROOM FOR IMPROVEMENT (:I)", false,"Friday", "7:30 AM", "8:30 AM" ,"S", "null",2, "St. Anthony''s of Padua"
"273 BOWERY ST New York NY ", 40.7236736, -73.9924832 , "ROOM FOR IMPROVEMENT (:II)", true,"Sunday", "7:30 AM", "8:30 AM" ,"null", "null",2, "Chinatown YMCA"
"273 BOWERY ST New York NY ", 40.7236736, -73.9924832 , "ROOM FOR IMPROVEMENT (:II)", true,"Saturday", "7:30 AM", "8:30 AM" ,"null", "Topic",2, "Chinatown YMCA"
"371 6TH AVE New York NY ", 40.6701581, -73.9819879 , "SHERIDAN SQUARE FOLLIES", true,"Saturday", "6:00 PM", "7:00 PM" ,"B", "Gay Lesbian and Bisexual",2, "St. Joseph''s Church"
"155 SULLIVAN ST New York NY ", 40.6792556, -74.0145369 , "SOHO(:I)", false,"Friday", "6:30 PM", "7:30 PM" ,"B", "Interpreted for the Deaf",2, "St. Anthony of Padua Church"
"155 SULLIVAN ST New York NY ", 40.6792556, -74.0145369 , "SOHO(:I)", false,"Monday", "7:00 PM", "8:00 PM" ,"B", "null",2, "St. Anthony of Padua Church"
"155 SULLIVAN ST New York NY ", 40.6792556, -74.0145369 , "SOHO(:I)", false,"Friday", "8:00 PM", "9:00 PM" ,"C", "null",2, "St. Anthony of Padua Church"
"155 SULLIVAN ST New York NY ", 40.6792556, -74.0145369 , "SOHO(:I)", false,"Monday", "8:30 PM", "9:30 PM" ,"S", "null",2, "St. Anthony of Padua Church"
"7 E 10TH STRERT New York NY ", 40.7332068, -73.9946888 , "SPIRITUAL WORKSHOP", false,"Sunday", "11:00 AM", "12:15 PM" ,"C", "Eleventh Step",2, "The Bronfman Cernter @ NYU"
"232 W 11TH ST New York NY ", 40.736193, -74.0028632 , "T&A TOGETHERNESS & ACTION", false,"Monday", "6:30 PM", "7:30 PM" ,"null", "null",2, "Seventh Adventist Church"
"81 CHRISTOPHER ST New York NY ", 40.7335983, -74.0035744 , "TEN PLUS", false,"Tuesday", "8:00 PM", "9:00 PM" ,"C", "null",2, "St. John''s Lutheran Church"
"273 BOWERY New York NY ", 40.7236736, -73.9924832 , "THE CAPTAIN''S TABLE", true,"Thursday", "7:00 PM", "8:00 PM" ,"BB", "Men",2, "University Settlement (The Chinatown YMCA)"
"232 W 11TH ST New York NY ", 40.736193, -74.0028632 , "TOGETHER WE CAN", false,"Tuesday", "6:45 PM", "8:00 PM" ,"S", "null",2, "Manhattan Seventh-Day Adventist Church"
"232 W 11TH ST New York NY ", 40.736193, -74.0028632 , "WEDNESDAY FOCUS", true,"Wednesday", "6:15 PM", "7:15 PM" ,"C", "null",2, "Manhattan Church of The Seventh-day Adventist"
"83 CHRISTOPHER ST New York NY ", 40.7335702, -74.0037456 , "WEST VILLAGE WOMEN", true,"Thursday", "6:30 PM", "7:45 PM" ,"C", "Women",2, "St. John''s Lutheran Church"
"220 W HOUSTON ST New York NY ", 40.7286385, -74.0045871 , "WOMEN INTO ACTION", false,"Saturday", "4:45 PM", "5:45 PM" ,"C", "Women",2, "null"
"273 BOWERY New York NY ", 40.7236736, -73.9924832 , "WOMEN TOGETHER(:II)", true,"Friday", "6:15 PM", "7:30 PM" ,"C", "Lesbian",2, "University Settlement @ Houston Street Center"
"7 E 10TH ST, New York, NY", undefined, undefined , "12 CONCEPTS WORKSHOP", false,"Wednesday", "8:15 PM", "9:15 PM" ,"C", "null",3, "N.Y.U Bronfman Center"
"155 E 22ND ST, New York, NY", undefined, undefined , "22 BELOW", false,"Thursday", "12:15 PM", "1:15 PM" ,"OD", "null",3, "Gustavus Adolphus Church"
"155 E 22ND ST, New York, NY", undefined, undefined , "22 BELOW", false,"Friday", "12:15 PM", "1:15 PM" ,"C", "null",3, "Gustavus Adolphus Church"
"155 E 22ND ST, New York, NY", undefined, undefined , "22 BELOW", false,"Monday", "12:15 PM", "1:15 PM" ,"BB", "null",3, "Gustavus Adolphus Church"
"155 E 22ND ST, New York, NY", undefined, undefined , "22 BELOW", false,"Tuesday", "12:15 PM", "1:15 PM" ,"B", "Living Sober",3, "Gustavus Adolphus Church"
"155 E 22ND ST, New York, NY", undefined, undefined , "22 BELOW", false,"Wednesday", "12:15 PM", "1:15 PM" ,"S", "null",3, "Gustavus Adolphus Church"
"61 FOURTH AVE, New York, NY", undefined, undefined , "AA AT THE THREE JEWELS", false,"Thursday", "6:00 PM", "7:15 PM" ,"null", "Meditation",3, "Three Jewels Community Center"
"61 FOURTH AVE, New York, NY", undefined, undefined , "AA AT THE THREE JEWELS", false,"Sunday", "7:00 PM", "8:30 PM" ,"null", "Meditation",3, "Three Jewels Community Center"
"208 W 13TH ST, New York, NY", undefined, undefined , "AGNOSTICS AT NOON", false,"Thursday", "12:00 PM", "1:00 PM" ,"C", "Agnostic",3, "lesbian Gay Bi-Sexual &amp; Transgender Community Center"
